rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,rgi_year,glacier_type,terminus_type,is_tidewater,status,dem_source,error_task,error_msg,t_star,mu_star_glacierwide,mu_star_flowline_avg,mu_star_allsame,mb_bias,inv_volume_km3,vas_volume_km3,inv_volume_bsl_km3,inv_volume_bwl_km3,flowline_type,inversion_glen_a,inversion_fs,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,terminus_lon,terminus_lat,main_flowline_length,inv_flowline_glacier_area,flowline_mean_elev,flowline_max_elev,flowline_min_elev,flowline_avg_slope,flowline_avg_width,flowline_last_width,flowline_last_5_widths,ref_hgt_qc_diff
RGI60-10.00001,10,10-03,Su5E17701001 Maliy Ice Cap,149.17,76.72,3.92,1956,Ice cap,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00001 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00002,10,10-03,Su5E17701002 Toll Ice Cap,148.92,76.68,48.144,1956,Ice cap,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00002 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00003,10,10-03,Su5E17701003 E Zeeberg Glacier,149.02,76.65,0.704,1956,Glacier,Marine-terminating,True,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00003 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00004,10,10-03,Su5E17701004 W Zeeberg Glacier,148.93,76.67,1.809,1956,Glacier,Marine-terminating,True,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00004 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00005,10,10-03,Su5E17701005 5,148.85,76.7,3.819,1956,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00005 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00006,10,10-03,Su5E17701006 De Long Ice Cap,148.65,76.65,12.966,1956,Ice cap,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00006 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00007,10,10-03,Su5E17701007 7,148.7,76.63,0.603,1956,Glacier,Land-terminating,False,Nominal glacier,TANDEM,simple_glacier_masks,GeometryError: RGI60-10.00007 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00008,10,10-03,Su5E17701008 8,148.57,76.65,0.402,1956,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00008 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00009,10,10-05,Su5E17701009 1,156.57,77.08,6.232,1956,Ice cap,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00009 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00010,10,10-05,Su5E17701010 2,156.6,77.08,0.101,1956,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00010 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00011,10,10-05,Su5E17701011 Northeast Glacier,156.6,77.1,0.101,1956,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00011 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00012,10,10-05,Su5E17701012 Dunbar Glacier,156.58,77.12,0.503,1956,Glacier,Land-terminating,False,Nominal glacier,TANDEM,simple_glacier_masks,GeometryError: RGI60-10.00012 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00013,10,10-05,Su5E17701013 Northwest Glacier,156.52,77.1,0.101,1956,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00013 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00014,10,10-05,Su5E17701014 West Glacier,156.48,77.08,1.206,1956,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00014 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00015,10,10-05,Su5E17701015 1,158.03,76.77,0.402,1956,Ice cap,Land-terminating,False,Nominal glacier,TANDEM,simple_glacier_masks,GeometryError: RGI60-10.00015 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00016,10,10-05,Su5E19001001 No 1,178.68,70.98,0.05,2011,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00016 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00017,10,10-05,Su5E19001002 No 2,178.67,70.98,0.02,2011,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00017 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00018,10,10-05,Su5E19001003 No,178.65,71.0,0.03,2011,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00018 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00019,10,10-05,Su5E19001004 No 4,178.65,71.0,0.02,2011,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00019 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGI60-10.00020,10,10-05,Su5E19001005 No 5,178.7,71.03,0.02,2011,Glacier,Land-terminating,False,Nominal glacier,COPDEM,simple_glacier_masks,GeometryError: RGI60-10.00020 is a nominal glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
